,Name,Description,One-Handed Damage,Two-Handed Damage,Main Damage Type,Extra Damage,Extra Damage Type,Type,Rarity,Enchantment,Wielding-Type,Throwable,Dippable,Extra Reach,Light,Melee/Range,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Action 1,Action 2,Action 3,Action 4,Special Action 1,Special Action 2,Special Action 3,Special Action 4,Location,Img url,UID,UUID
56,Glaive +1,"Glaive +1 is an uncommon, lightly enchanted glaive.",,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Glaives,Uncommon,+1,Two-Handed,False,True,True,False,2.5m / 8ft,2.7kg / 5.4lb,85 gp,,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll melee damage twice and use the highest result.",,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up.,https://bg3.wiki/w/images/thumb/e/ef/Glaive_PlusOne_Icon.png/300px-Glaive_PlusOne_Icon.png,WPN_Glaive_1,15d2830c-ac76-4b5b-969d-05197875b1c2
57,Monster Slayer Glaive,Monster Slayer Glaive is a rare +1 glaive that deals additional damage against Monstrosities and increases its wielder's Jump distance.,,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Glaives,Rare,+1,Two-Handed,False,True,True,False,2.5m / 8ft,2.7kg / 5.4lb,380 gp,Monsterslayer: You gain an additional 1d4 to all attack rolls against Monstrosity type foes and your weapons deal an additional 1d4 damage against them.[See Notes],Refined Vaulting: Jump distance is increased by 1.5m / 5ft.,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll melee damage twice and use the highest result.",,,,,,This weapon can be bought from these traders: Roah Moonglow in the Shattered Sanctum,https://bg3.wiki/w/images/thumb/e/ef/Glaive_PlusOne_Icon.png/300px-Glaive_PlusOne_Icon.png,MAG_MonsterSlayer_Glaive,0c3fcc8d-bf4b-4f65-95ec-a5d1030afe66
58,Moonlight Glaive,"Moonlight Glaive is a rare +2 glaive that deals additional Radiant damage, has a permanent Light effect, and grants its wielder the Moonlight Butterflies weapon action.",,1d10 + 2 (3~12) + Strength modifier,Slashing damage,1d4 (1~4),Radiant damage,Glaives,Rare,+2,Two-Handed,False,True,True,False,2.5m / 8ft,2.7kg / 5.4lb,380 gp,Moonlight Glaive: Glowing: This object shines with a glowing light in a radius of 6m / 20ft.,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll melee damage twice and use the highest result.",,"Moonlight Butterflies: Strike a foe, dealing additional Psychic damage equal to your proficiency bonus, conjuring an illusory swarm of moon-pale butterflies and gaining Advantage on attacks against the target. When the target moves away from your illusion, it takes 1d6Psychic damage.",,,,Rewarded for freeing the Nightsong from the Shadowfell during the Find the Nightsong quest.,https://bg3.wiki/w/images/thumb/e/ef/Glaive_PlusOne_Icon.png/300px-Glaive_PlusOne_Icon.png,MAG_Moonlight_Glaive,24f276e7-f08f-44f1-ab97-3df34fd52add
59,Sorrow,Sorrow is a rare glaive that grants its wielder the Sorrowful Lash cantrip as bonus action once per turn.,,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Glaives,Rare,+1,Two-Handed,False,True,True,False,2.5m / 8ft,2.7kg / 5.4lb,380 gp,Sorrowful Lash: Cast as a cantrip (Recharge: Per turn).,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll melee damage twice and use the highest result.",,,,,,"Found on a stone slab at the Wolf altar in the Hidden Vault X:183Y:-82, unlocked by solving the Enclave Library Puzzle in the Druid Grove.",https://bg3.wiki/w/images/thumb/e/ef/Glaive_PlusOne_Icon.png/300px-Glaive_PlusOne_Icon.png,DEN_HalsinBlade,0de9e072-7048-4d07-8bbe-79e0591674c2
60,The Dancing Breeze,"The Dancing Breeze is a very rare glaive that grants its wielder the Whirlwind Attack weapon action, which strikes all nearby targets.",,1d10 + 2 (3~12) + Strength or Dexterity modifier,Slashing damage,,,Glaives,Very Rare,+2,Two-Handed,False,True,True,False,2.5m / 8ft,2.7kg / 5.4lb,960 gp,,,,,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll melee damage twice and use the highest result.",,"Whirlwind Attack: Strike out at all nearby foes, making separate Attack rolls against each target.",,,,"This weapon can be bought from these traders: Exxvikyap in the Rivington General, Rivington",https://bg3.wiki/w/images/thumb/1/15/Glaive_PlusTwo_Icon.png/300px-Glaive_PlusTwo_Icon.png,MAG_Finesse_Glaive,0a6e5a22-414d-4f4e-b9e1-6083822648c4
61,Blooded Greataxe,Blooded Greataxe is a rare +1 greataxe that deals additional Slashing damage when the wielder has 50% hit points or less.,,1d12 + 1 (2~13) + Strength modifier,Slashing damage,,,Greataxes,Rare,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,380 gp,"Relentless Revenge: When the wielder has 50% hit points or less, they deal an additional 1d4Slashing damage.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,Act One: Bought or stolen from Roah Moonglow in the Shattered Sanctum X:275Y:-29.,https://bg3.wiki/w/images/thumb/b/b2/Blooded_Greataxe_Icon.png/300px-Blooded_Greataxe_Icon.png,MAG_LowHP_IncreaseDamage_Greataxe,e1e090ec-ab8c-4db4-a0c3-8b7ab24bb181
62,Bloodsoaked Greataxe,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
63,Defender Greataxe,Defender Greataxe is a rare +2 greataxe that can be reduced in its enchantment on the first attack of the round to increase wielder's Armour Class and saving throw bonus.,,1d12 + 2 (3~14) + Strength modifier,Slashing damage,,,Greataxes,Rare,+2,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,380 gp,"Defensive Attack: When making your first attack of the round, you can reduce this weapon's enchantment by 1 to increase your Armour Class and Saving throw bonus by 1.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,Act Two: Bought or stolen from Quartermaster Talli at the Last Light Inn X:-27Y:132.,https://bg3.wiki/w/images/thumb/3/3e/Greataxe_PlusTwo_Icon.png/300px-Greataxe_PlusTwo_Icon.png,MAG_PHB_Defender_Greataxe,560fa90c-942b-4661-a86b-e20f9362c9ba
64,Doom Axe,Doom Axe is an uncommon greataxe that afflicts targets with Bone Chilled condition on each successful hit.,,1d12 (1~12) + Strength modifier,Slashing damage,,,Greataxes,Uncommon,None,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,65 gp,Edge of Terror: Each strike fills the target with a chilling dread that prevents it from regaining hit points. Undead creatures also get Disadvantage on Attack rolls.,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,"This item is not present in the launch version of the game. Its effects were largely replaced by the Doom Hammer, which is identical save for being a hammer instead of an axe.",https://bg3.wiki/w/images/thumb/4/41/Disarmed_Condition_Icon.webp/35px-Disarmed_Condition_Icon.webp.png,,
65,Exterminator's Axe,"Exterminator's Axe is an uncommon greataxe that deals additional Fire damage to Plants, Insects, and Small creatures.",,1d12 (1~12) + Strength modifier,Slashing damage,,,Greataxes,Uncommon,None,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,130 gp,"Scourge of Pests: Deals an additional 1d6Fire damage to Plants, Insects, and Small creatures.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,"Act One: Looted from Gekh Coal in Decrepit Village, Underdark X:14Y:-196.",https://bg3.wiki/w/images/thumb/4/47/Greataxe_PlusOne_Icon.png/300px-Greataxe_PlusOne_Icon.png,UND_DuergarRaft_PestKillerAxe,6e05319b-d8c4-4dbc-b0f4-cea561810fa6
66,Greataxe,Greataxe is a common variant of the Greataxes family of weapons.,,1d12 (1~12) + Strength modifier,Slashing damage,,,Greataxes,Common,None,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,65 gp,,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,Starting weapon for the Barbarian class.,https://bg3.wiki/w/images/thumb/f/f1/Greataxe_Faded.png/300px-Greataxe_Faded.png,WPN_Greataxe,d5712e24-ce9e-42ce-8fad-6e049b62c28c
67,Greataxe +1,"Greataxe +1 is an uncommon, lightly enchanted greataxe.",,1d12 + 1 (2~13) + Strength modifier,Slashing damage,,,Greataxes,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,85 gp,,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,"Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up. Act One: Found on a rack in the hidden room in the cellar of the Toll House, The Risen Road. The room can be opened by sitting on the two thrones X:-664Y:-407, X:-664Y:-400 simultaneously (or by placing objects on each throne). Act Three: Looted from Adventurer Rosanna in Fraygo's Flophouse, Wyrm's Crossing X:-8Y:76.",https://bg3.wiki/w/images/thumb/4/47/Greataxe_PlusOne_Icon.png/300px-Greataxe_PlusOne_Icon.png,WPN_Greataxe_1,afbfaee7-e2cd-48e7-8c46-d2377c7320e3
68,Hellfire Greataxe,"Hellfire Greataxe is a very rare greataxe that deals additional Fire damage, afflicts its wielder with Heat on each successful hit, and grants the Hellflame Cleave weapon action.",,1d12 + 2 (3~14) + Strength modifier,Slashing damage,1d6 (1~6),Fire damage,Greataxes,Very Rare,+2,Two-Handed,False,False,False,False,1.5m / 5 ft,3.15kg / 6.3lb,960 gp,"Thermodynamo: Whenever you deal damage with this weapon, you gain 2 turns of Heat.",,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,Hellflame Cleave: Spew hellish flames and strike your foes.,,,,"Act Three: Looted from a Guilded Chest in the ""Illusion"" section of the Sorcerous Vault, Sorcerous Sundries.  Once in the vault, upon finding the named doors, go through the ""Silverhand"" door and in the next area destroy the door labeled ""Illusion"" (trying to enter the door normally will not work). Through the door is the room with the chest X:366Y:941.",https://bg3.wiki/w/images/thumb/3/3e/Greataxe_PlusTwo_Icon.png/300px-Greataxe_PlusTwo_Icon.png,MAG_WATCHER_Human_Greataxe,dd0e9fa2-e012-454d-9f2d-53c0a0776015
69,Sethan,Sethan is a very rare greataxe that grants its wielder the Sethan: Spiritual Greataxe and Sethan: Reduce weapon actions.,,1d12 + 2 (3~14) + Strength modifier,Slashing damage,,,Greataxes,Very Rare,+2,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,960 gp,Sethan: Spiritual Greataxe: Cast as a level 6 spell (Recharge: Long rest).,Sethan: Reduce: Cast as a level 2 spell (Recharge: Long rest).,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,,,,"Act Three: Bought or stolen from Ferg Drogher near the Requisitioned Barn, Rivington X:43Y:-101. He has to be persuaded during dialogue to disclose his special wares, this greataxe included.",https://bg3.wiki/w/images/thumb/3/3e/Greataxe_PlusTwo_Icon.png/300px-Greataxe_PlusTwo_Icon.png,MAG_SpiritualStand_Greataxe,7bbc2408-14de-4129-bab0-db29927b7f43
70,The Undead Bane,The Undead Bane is an uncommon greataxe that deals additional Slashing damage against Fiends and Undead and grants its wielder the Profane Scourge weapon action.,,1d12 + 1 (2~13) + Strength modifier,Slashing damage,,,Greataxes,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,3.15kg / 6.3lb,130 gp,Slay the Wicked: This weapon deals an additional 1d6Slashing damage against Fiends and Undead.,,,,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,"Profane Scourge: Strike with subjugating fury, adding your proficiency bonus to the damage roll. If you hit a Fiend or Undead creature, deal an additional 2d6SlashingDRS damage and possibly Bane it.",,,,"Looted from Ulma in one of the following locations:  Act Three: Gur Camp, Rivington X:100Y:-17 Act Three: Cazador's Dungeon, after the zone event and near the waypoint X:-1925Y:836",https://bg3.wiki/w/images/thumb/6/6f/Greataxe_B_PlusOne_Icon.png/300px-Greataxe_B_PlusOne_Icon.png,MAG_WYRM_UndeadBane_GreatAxe,9a81cb70-6a5c-465b-b4b9-0931d544095c
71,Very Heavy Greataxe,"Very Heavy Greataxe is an uncommon greataxe that grants its wielder the Gargantuan Cleave weapon action, which can strike multiple targets but make the wielder Off-Balanced for 1 turn.",,1d12 + 1 (2~13) + Strength modifier,Slashing damage,,,Greataxes,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,9.0kg / 18lb,130 gp,,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Prepare (6m / 20ft): Spend 6m / 20ft of your movement to deal an additional [Strength modifier]PhysicalDRS damage (minimum 1) on each successful weapon attack for the rest of the turn.,,,"Gargantuan Cleave: Swing your weapon with all your might. You can attack multiple targets, dealing bonus 1d6SlashingDRS damage, but become Off Balanced for Duration: 1 turn.",,,,"Looted from Fezzerk in one of the following locations:  Act One: Blighted Village, in front of the windmill X:10Y:420 Act Two: Moonrise Towers, in the throne room on the main floor X:-152Y:-191",https://bg3.wiki/w/images/thumb/6/6f/Greataxe_B_PlusOne_Icon.png/300px-Greataxe_B_PlusOne_Icon.png,UNI_SuperheavyWeapon,b3ed22d9-dd32-46c3-928a-e7253a843dfc
72,Greatclub,"Greatclub is a mundane, nonmagical variant of the Greatclubs family of weapons. It is a simple melee weapon that's wielded with both hands.",,1d8 (1~8) + Strength modifier,Bludgeoning damage,,,Greatclubs,Common,None,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,20 gp,,,,,"Tenacity: When you miss an attack, deal Bludgeoning damage equal to your Strength modifier anyway (minimum of 1).",Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,https://bg3.wiki/w/images/thumb/d/de/Greatclub_Icon.png/300px-Greatclub_Icon.png,WPN_HUM_Greatclub_A_0,19ce6720-03b6-4d22-bf35-4963b510d1da
73,Greatclub +1,"Greatclub +1 is an uncommon, lightly enchanted (+1) variant of the Greatclubs family of weapons. It is a simple melee weapon that's wielded with both hands.",,1d8 + 1 (2~9) + Strength modifier,Bludgeoning damage,,,Greatclubs,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,40 gp,,,,,"Tenacity: When you miss an attack, deal Bludgeoning damage equal to your Strength modifier anyway (minimum of 1).",Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up. Always sold by Grat in the Goblin Camp.,https://bg3.wiki/w/images/thumb/7/7d/Greatclub_PlusOne_Icon.png/300px-Greatclub_PlusOne_Icon.png,WPN_HUM_Greatclub_A_1,d64e1a13-18a5-4cdc-ac02-977523435f8f
74,Greatclub +2,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
75,Rat Bat,The Rat Bat is a rare greatclub that grants the wielder Advantage on their Attack Rolls against beasts.,,1d8 + 1 (2~9) + Strength modifier,Bludgeoning damage,1d6 (1~6),Piercing damage,Greatclubs,Rare,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,190 gp,Rat Catcher: Attack Rolls against beasts have Advantage.,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,The Rat Bat can be found leaning against a wall in The Waning Moon X:-224Y:-78.,https://bg3.wiki/w/images/thumb/d/de/Greatclub_Icon.png/300px-Greatclub_Icon.png,UNI_TWN_WPN_HUM_NailBat,7ee0b513-403b-4fe3-a445-b599defa9331
76,Punch-Drunk Bastard,Punch-Drunk Bastard is a rare +1 Greatclub that grants the wielder Advantage and creates a Thunder blast on each hit...so long as the wielder is Drunk.,,1d8 + 1 (2~9) + Strength modifier,Bludgeoning damage,,,Greatclubs,Rare,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,190 gp,"Tippler's Rage: While you are Drunk, you have Advantage on Attack rolls. You also create a blast with each attack, dealing 1d4Thunder for 3m / 10ft.",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,,,,,Can be looted from a chest in the back storage room of The Waning Moon.,https://bg3.wiki/w/images/thumb/7/7d/Greatclub_PlusOne_Icon.png/300px-Greatclub_PlusOne_Icon.png,MAG_TWN_Brewery_Greatclub,82029987-a77c-4bb5-99b9-3b513cb551f1
77,Balduran's Giantslayer,"Balduran's Giantslayer is a legendary greatsword that receives doubled damage bonus from Strength, grants its wielder the Giant Form class action and the Topple the Big Folk weapon action, as well as Advantage on attack rolls against Large, Huge, and Gargantuan creatures.",,2d6 + 3 (5~15) + Strength modifier,Slashing damage,,,Greatswords,Legendary,+3,Two-Handed,False,True,False,False,1.5m / 5 ft,2.7kg / 5.4lb,1300 gp,"Giantslayer: On a hit, double the damage from your Strength modifier. This weapon grants you Advantage on Attack rolls against Large, Huge or Gargantuan creatures.",Giant Form: Grow to a fearsome size. Your weapons deal an additional 1d6 damage and you gain 27 temporary hit points and Advantage on Strength Checks and Saving throws. (Recharge: Short rest).,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,"Topple the Big Folk: Deal additional damage equal to your proficiency bonus. On a hit, Large, Huge, or Gargantuan creatures take an additional 2d6SlashingDRS damage and must succeed a Strength saving throw or fall Prone.",,,,"Looted from Ansur in The Dragon's Sanctum, Wyrmway.",https://bg3.wiki/w/images/thumb/f/f1/Balduran_Giantslayer_Icon.png/300px-Balduran_Giantslayer_Icon.png,MAG_Giantslayer_Greatsword,7219fca3-5f41-43a0-8253-f4c09d8b6308
78,Blistering Greatsword,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
79,Everburn Blade,Everburn Blade is an uncommon greatsword that deals additional Fire damage.,,2d6 (2~12) + Strength modifier,Slashing damage,1d4 (1~4),Fire damage,Greatswords,Uncommon,None,Two-Handed,False,False,False,False,1.5m / 5 ft,2.7kg / 5.4lb,130 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,,,,,"Looted from Commander Zhalk at the helm of the Nautiloid during the Prologue. Can also be obtained by casting Command (Drop) on Commander Zhalk instead of killing him, though his chance of succeeding the Saving throw is high.",https://bg3.wiki/w/images/thumb/0/0b/Greatsword_B_PlusOne_Icon.png/300px-Greatsword_B_PlusOne_Icon.png,MAG_Fire_AlwaysDippedInFire_Greatsword,660483f6-8eb3-45be-88a4-327f9d417026
80,Githyanki Greatsword,"The Githyanki Greatsword is an uncommon, slightly enchanted greatsword.",,2d6 + 1 (3~13) + Strength modifier,Slashing damage,,,Greatswords,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,2.7kg / 5.4lb,85 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,,,,,"Carried by multiple githyanki in the Creche Y'llek, and can be later found in various places of githyanki influence.",https://bg3.wiki/w/images/thumb/b/b5/Githyanki_Greatsword_Unfaded_Icon.png/25px-Githyanki_Greatsword_Unfaded_Icon.png,,
81,Greatsword,Greatsword is a common variant of the Greatswords family of weapons.,,2d6 (2~12) + Strength modifier,Slashing damage,,,Greatswords,Common,None,Two-Handed,False,True,False,False,1.5m / 5 ft,2.7kg / 5.4lb,65 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,"Found on a corpse down the well in the Blighted Village, and throughout the game in smithies, armories, and battlefields.",https://bg3.wiki/w/images/thumb/6/62/Greatsword_Faded.png/300px-Greatsword_Faded.png,WPN_Greatsword,ecfb9f69-5bc3-402e-acd8-c91d57e28403
82,Greatsword +1,"Greatsword +1 is an uncommon, lightly enchanted greatsword.",,2d6 + 1 (3~13) + Strength modifier,Slashing damage,,,Greatswords,Uncommon,+1,Two-Handed,False,True,False,False,1.5m / 5 ft,2.7kg / 5.4lb,85 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up. Always sold by Grat in the Goblin Camp.,https://bg3.wiki/w/images/thumb/c/c2/Greatsword_PlusOne_Icon.png/300px-Greatsword_PlusOne_Icon.png,WPN_Greatsword_1,1a2a58b7-4bd5-44d5-b1fe-8cd7e5b53def
83,Reinforced Greatsword,Reinforced Greatsword is a common variant of the Greatswords family of weapons.,,2d6 (2~12) + Strength modifier,Slashing damage,,,Greatswords,Common,None,Two-Handed,False,True,False,False,1.5m / 5 ft,2.7kg / 5.4lb,65 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,Cleave: Swing your weapon in a large arc to attack up to 3 enemies at once. They each take half the damage your weapon usually deals.,,,,,,"Found in the swamp north of Riverside Teahouse, Sunlit Wetlands X:-4Y:277.",https://bg3.wiki/w/images/thumb/0/04/Greatsword_B_Icon.png/300px-Greatsword_B_Icon.png,HAG_SwampedHero_OldFancyGreatsword,0bf738cf-c0b7-471c-b66e-91578a6f657f
